match_id,season
3749052,2003/2004
3749522,2003/2004
3749246,2003/2004
3749257,2003/2004
3749642,2003/2004
3749358,2003/2004
3749346,2003/2004
3749253,2003/2004
3749079,2003/2004
3749465,2003/2004
3749133,2003/2004
3749528,2003/2004
3749233,2003/2004
3749462,2003/2004
3749552,2003/2004
3749296,2003/2004
3749454,2003/2004
3749276,2003/2004
3749068,2003/2004
3749310,2003/2004
3749493,2003/2004
3749434,2003/2004
3749192,2003/2004
3749196,2003/2004
3749448,2003/2004
3749360,2003/2004
3749453,2003/2004
3749278,2003/2004
3749603,2003/2004
3749153,2003/2004
3749403,2003/2004
3749526,2003/2004
3749431,2003/2004
9636,2017/2018
9609,2017/2018
9575,2017/2018
9928,2017/2018
9736,2017/2018
9742,2017/2018
9855,2017/2018
9765,2017/2018
9799,2017/2018
9880,2017/2018
9924,2017/2018
9661,2017/2018
9592,2017/2018
9870,2017/2018
9783,2017/2018
9700,2017/2018
9860,2017/2018
9695,2017/2018
9794,2017/2018
9717,2017/2018
9673,2017/2018
9650,2017/2018
9620,2017/2018
9827,2017/2018
9837,2017/2018
9912,2017/2018
9811,2017/2018
9642,2017/2018
9774,2017/2018
9602,2017/2018
9948,2017/2018
9682,2017/2018
9581,2017/2018
9726,2017/2018
9754,2017/2018
9889,2017/2018
266989,2016/2017
266357,2016/2017
267569,2016/2017
267212,2016/2017
266669,2016/2017
266892,2016/2017
267220,2016/2017
267670,2016/2017
266516,2016/2017
267039,2016/2017
266477,2016/2017
267101,2016/2017
266440,2016/2017
266033,2016/2017
267660,2016/2017
266273,2016/2017
267395,2016/2017
266874,2016/2017
266731,2016/2017
266528,2016/2017
266280,2016/2017
267432,2016/2017
267076,2016/2017
267590,2016/2017
267373,2016/2017
267077,2016/2017
266952,2016/2017
267464,2016/2017
266299,2016/2017
266191,2016/2017
265952,2016/2017
267492,2016/2017
267596,2016/2017
267058,2016/2017
69243,2009/2010
69241,2009/2010
69239,2009/2010
69257,2009/2010
69253,2009/2010
69244,2009/2010
69277,2009/2010
69229,2009/2010
69219,2009/2010
69218,2009/2010
69250,2009/2010
69242,2009/2010
69256,2009/2010
69298,2009/2010
69259,2009/2010
69224,2009/2010
69210,2009/2010
69220,2009/2010
69237,2009/2010
69226,2009/2010
69252,2009/2010
69255,2009/2010
69214,2009/2010
69262,2009/2010
69240,2009/2010
69233,2009/2010
69213,2009/2010
69238,2009/2010
69267,2009/2010
69288,2009/2010
69254,2009/2010
69292,2009/2010
69227,2009/2010
69247,2009/2010
69221,2009/2010
69276,2010/2011
69304,2010/2011
69307,2010/2011
69271,2010/2011
69305,2010/2011
69278,2010/2011
69275,2010/2011
69295,2010/2011
69270,2010/2011
69303,2010/2011
69245,2010/2011
69287,2010/2011
69296,2010/2011
69260,2010/2011
69269,2010/2011
69246,2010/2011
69302,2010/2011
69282,2010/2011
69274,2010/2011
69283,2010/2011
69280,2010/2011
69286,2010/2011
69291,2010/2011
69236,2010/2011
69234,2010/2011
69272,2010/2011
69308,2010/2011
69299,2010/2011
69300,2010/2011
69289,2010/2011
69263,2010/2011
69306,2010/2011
69248,2010/2011
69328,2011/2012
69329,2011/2012
70219,2011/2012
69331,2011/2012
69337,2011/2012
69322,2011/2012
69316,2011/2012
69332,2011/2012
69335,2011/2012
69330,2011/2012
69297,2011/2012
69325,2011/2012
69324,2011/2012
70225,2011/2012
69293,2011/2012
70223,2011/2012
69333,2011/2012
69264,2011/2012
69343,2011/2012
69340,2011/2012
69265,2011/2012
69319,2011/2012
69334,2011/2012
69327,2011/2012
69315,2011/2012
69336,2011/2012
69326,2011/2012
69268,2011/2012
69320,2011/2012
69312,2011/2012
69314,2011/2012
69318,2011/2012
69338,2011/2012
70220,2011/2012
70224,2011/2012
70221,2011/2012
69323,2011/2012
266015,2012/2013
70270,2012/2013
70281,2012/2013
70308,2012/2013
70282,2012/2013
266724,2012/2013
70272,2012/2013
70304,2012/2013
70280,2012/2013
70296,2012/2013
70297,2012/2013
266433,2012/2013
70256,2012/2013
70259,2012/2013
70260,2012/2013
70263,2012/2013
70276,2012/2013
70287,2012/2013
70284,2012/2013
70275,2012/2013
70286,2012/2013
70309,2012/2013
70300,2012/2013
70295,2012/2013
70307,2012/2013
70305,2012/2013
266827,2012/2013
267502,2012/2013
70271,2012/2013
70294,2012/2013
70262,2012/2013
70292,2012/2013
267368,2013/2014
70301,2013/2014
70298,2013/2014
70302,2013/2014
70291,2013/2014
267138,2013/2014
267520,2013/2014
70289,2013/2014
266066,2013/2014
267675,2013/2014
70288,2013/2014
266074,2013/2014
267567,2013/2014
266201,2013/2014
266274,2013/2014
70293,2013/2014
265918,2013/2014
70277,2013/2014
70283,2013/2014
70306,2013/2014
266256,2013/2014
266613,2013/2014
266491,2013/2014
265830,2013/2014
265857,2013/2014
266883,2013/2014
266603,2013/2014
265837,2013/2014
266462,2013/2014
267192,2013/2014
266420,2013/2014
265835,2014/2015
266838,2014/2015
265963,2014/2015
266117,2014/2015
266916,2014/2015
267183,2014/2015
267197,2014/2015
70264,2014/2015
70273,2014/2015
267301,2014/2015
265896,2014/2015
265866,2014/2015
267400,2014/2015
266406,2014/2015
267085,2014/2015
267561,2014/2015
266148,2014/2015
