team_name,match_id
Reading WFC,2275050
Birmingham City WFC,2275050
Reading WFC,19795
West Ham United LFC,19795
Manchester City WFC,7298
Chelsea FCW,7298
Barcelona,265958
Espanyol,265958
Real Zaragoza,69182
Barcelona,69182
Juventus,18242
Barcelona,18242
England Women's,69301
Sweden Women's,69301
Bristol City WFC,3775631
Tottenham Hotspur Women,3775631
Barcelona,303696
Atlético Madrid,303696
Villarreal,69244
Barcelona,69244
Denmark,3788742
Finland,3788742
Barcelona,3773474
Real Valladolid,3773474
Manchester United,2275142
Bristol City WFC,2275142
Barcelona,266620
Granada,266620
Saudi Arabia,7559
Egypt,7559
Espanyol,69213
Barcelona,69213
Arsenal WFC,3775559
Everton LFC,3775559
Chelsea FCW,2275154
Manchester United,2275154
Barcelona,69340
Málaga,69340
Italy Women's,69205
Netherlands Women's,69205
Birmingham City WFC,19804
Arsenal WFC,19804
France,8655
Belgium,8655
Mallorca,266724
Barcelona,266724
Chelsea FCW,19783
Everton LFC,19783
Nigeria Women's,22980
France Women's,22980
Liverpool WFC,2275103
West Ham United LFC,2275103
Real Valladolid,303680
Barcelona,303680
Arsenal WFC,3775627
Chelsea FCW,3775627
Barcelona,9855
Athletic Club,9855
Italy,3788754
Switzerland,3788754
Valencia,69252
Barcelona,69252
Getafe,70264
Barcelona,70264
Arsenal WFC,19717
Liverpool WFC,19717
Aston Villa,3775575
Everton LFC,3775575
Recreativo Huelva,68341
Barcelona,68341
Barcelona,9592
Espanyol,9592
Getafe,69229
Barcelona,69229
Barcelona,16231
Espanyol,16231
Denmark,7563
France,7563
West Ham United LFC,19740
Liverpool WFC,19740
United States Women's,22943
Thailand Women's,22943
Tottenham Hotspur Women,2275085
Manchester City WFC,2275085
Barcelona,69157
Getafe,69157
Barcelona,68316
Albacete,68316
Barcelona,16289
Levante,16289
Deportivo La Coruna,267660
Barcelona,267660
Orlando Pride,7471
North Carolina Courage,7471
Germany,7534
Mexico,7534
Sevilla,69291
Barcelona,69291
Barcelona,70225
Granada,70225
Birmingham City WFC,2275093
Chelsea FCW,2275093
Australia Women's,22955
Brazil Women's,22955
Everton LFC,19756
Birmingham City WFC,19756
Tottenham Hotspur Women,2275139
Manchester United,2275139
Barcelona,69141
Valencia,69141
Barcelona,9880
Valencia,9880
Barcelona,69268
Villarreal,69268
Barcelona,69287
Hércules,69287
Houston Dash,7522
North Carolina Courage,7522
Manchester United,3775563
Everton LFC,3775563
Atlético Madrid,9642
Barcelona,9642
Real Madrid,70272
Barcelona,70272
Birmingham City WFC,3764237
Manchester United,3764237
Norway Women's,68357
Australia Women's,68357
Córdoba,265866
Barcelona,265866
Houston Dash,266933
Portland Thorns,266933
Washington Spirit,7430
North Carolina Courage,7430
Barcelona,266525
Valencia,266525
Granada,267343
Barcelona,267343
Sporting Gijón,69248
Barcelona,69248
Barcelona,3773585
Real Madrid,3773585
Villarreal,68320
Barcelona,68320
Liverpool WFC,19799
Chelsea FCW,19799
Spain Women's,69161
United States Women's,69161
Real Madrid,16196
Barcelona,16196
Bristol City WFC,3764240
Everton LFC,3764240
Real Madrid,267085
Barcelona,267085
Málaga,267590
Barcelona,267590
Brighton & Hove Albion WFC,19776
Chelsea FCW,19776
Poland,7555
Colombia,7555
Real Sociedad,15978
Barcelona,15978
Barcelona,266440
Valencia,266440
Netherlands,3794690
Czech Republic,3794690
Real Madrid,3773497
Barcelona,3773497
Brighton & Hove Albion WFC,3775543
Arsenal WFC,3775543
Barcelona,267197
Deportivo La Coruna,267197
Iran,7543
Spain,7543
Croatia,3794686
Spain,3794686
Everton LFC,19808
Yeovil Town LFC,19808
Barcelona,303634
Osasuna,303634
Racing Santander,69209
Barcelona,69209
Real Madrid,68361
Barcelona,68361
Barcelona,70301
Sevilla,70301
Brazil Women's,22934
Jamaica Women's,22934
Liverpool WFC,19737
Yeovil Town LFC,19737
Tottenham Hotspur Women,3775555
Chelsea FCW,3775555
Barcelona,266952
Villarreal,266952
Ukraine,3788758
North Macedonia,3788758
North Carolina Courage,7451
Washington Spirit,7451
Real Madrid,267569
Barcelona,267569
Almería,69177
Barcelona,69177
Gimnàstic Tarragona,68336
Barcelona,68336
Arsenal,3749528
Newcastle United,3749528
Barcelona,3773593
Villarreal,3773593
Chelsea FCW,19760
