player_id,card_minutes,yellow_cards,red_cards,behavior_cards,foul_cards,right_wing,right_center_forward,right_midfield,right_center_midfield,right_wing_back,right_back,center_defensive_midfield,right_defensive_midfield,right_center_back,left_back,left_center_back,center_back,left_center_midfield,left_defensive_midfield,center_forward,center_attacking_midfield,left_wing,left_wing_back,left_midfield,left_center_forward,goalkeeper,left_attacking_midfield,right_attacking_midfield,center_midfield,secondary_striker
3385,"[73, 27, 48, 50, 50, 76, 35, 64]",8,0,3,5,52,3,2,3,3,1,0,0,1,0,0,1,4,0,12,1,20,2,0,3,0,0,0,0,0
3478,"[73, 31, 74, 35, 79, 94, 32, 46, 64, 45, 35, 25, 82, 43, 89]",15,0,6,9,2,0,0,30,1,0,0,0,0,0,2,0,44,0,9,7,4,2,0,0,0,1,0,0,0
4324,"[29, 32, 53, 92, 33, 65, 25, 62, 31, 52, 93, 92, 82, 70, 39, 58, 88, 48, 73, 42, 71, 33, 84, 91, 60, 79, 38, 79, 14, 55, 91, 26, 76, 88, 83, 78, 81, 45, 61, 88, 48, 70, 57, 55, 76, 91, 70, 46, 62, 45, 30, 57, 94, 71, 83, 2, 86, 36, 77, 68]",56,1,8,52,2,0,0,0,7,239,0,0,10,2,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0
5203,"[70, 27, 25, 66, 39, 85, 93, 21, 20, 43, 78, 89, 66, 54, 32, 88, 15, 82, 37, 89, 46, 45, 82, 57, 22, 44, 26, 20, 63, 61, 83, 32, 29, 54, 49, 79, 70, 81, 40, 84, 12, 51, 93, 75, 62, 51, 71, 60, 61, 29, 32, 43, 83, 64, 17, 52, 77, 22, 48, 76, 78, 7, 46, 35, 66, 88, 73, 90, 39, 50, 62, 2, 79, 22, 81, 69, 87, 39, 59, 87, 89, 89, 57, 94, 92, 45, 89, 62, 23, 6, 40, 49, 88, 90, 53, 91, 87, 19, 23, 74, 90, 66, 26]",102,0,18,85,3,0,1,38,0,2,330,24,9,1,12,2,33,20,2,0,2,0,1,0,0,0,0,3,0
5211,"[48, 72, 59, 29, 78, 91, 87, 51, 77, 66, 61, 83, 54, 54, 37, 49, 19, 57, 83, 92, 89, 50, 85, 8, 56, 29, 62, 14, 84, 94, 12, 68, 5, 91, 86, 87, 55, 83, 91, 88, 84, 93, 92, 45, 66, 53, 51, 65, 62, 73]",47,1,24,26,0,0,0,1,0,2,1,0,1,243,8,0,2,0,1,0,3,23,2,0,0,0,0,0,0
5213,"[88, 83, 32, 48, 65, 63, 61, 25, 44, 62, 23, 35, 52, 54, 10, 33, 65, 62, 82, 67, 42, 68, 93, 39, 30, 96, 35, 27, 92, 40, 21, 15, 37, 61, 70, 74, 43, 72, 10, 20, 5, 35, 65, 65, 60, 45, 78, 33, 56, 96, 79, 22, 71, 49, 43, 81, 58, 42, 22, 28, 13, 84, 83, 29, 95, 79, 90, 71, 74, 88, 87, 76, 69, 18, 16, 16, 70, 84, 92, 52, 31, 93, 31, 65, 70, 42, 74, 91, 7, 91, 40, 38, 69]",88,1,24,69,2,0,0,0,0,0,2,0,293,0,59,29,1,1,0,1,2,0,1,1,0,0,0,0,0
5216,"[45, 67, 44, 78, 58, 37, 87, 65, 58, 39, 42, 21, 39, 74, 20, 69, 91, 82, 57, 58, 16, 48, 93, 51, 78, 58, 88, 64, 76, 82]",30,0,1,29,26,0,4,99,0,0,17,0,0,1,2,0,193,1,2,3,80,6,19,0,0,0,1,0,0
5503,"[71, 37, 86, 73, 64, 68, 94, 65, 82, 42, 40, 13, 74, 20, 8, 45, 49, 65, 64, 85, 83, 85, 94, 34, 93, 44, 95, 48, 93, 90, 68, 14, 67, 93, 29, 8, 84, 92, 94, 12, 40, 85, 24, 94, 41, 61, 81, 80, 92, 24, 93, 45]",52,0,26,26,306,68,6,17,1,2,0,0,1,0,0,0,7,0,205,57,24,0,0,12,0,0,7,0,7
6658,"[84, 66]",2,0,0,2,22,0,1,2,2,0,1,0,0,2,0,0,1,0,2,0,31,9,1,1,0,0,0,0,0
7068,"[39, 21, 73, 68, 26]",5,0,0,5,1,0,0,0,0,4,4,0,34,2,21,2,1,0,0,0,0,0,0,0,0,0,0,0,0
